"timestamp";"severity";"category";"thread";"logmessage"
"2019-06-23 06:43:17,040";"INFO";"org.jboss.as.ejb3.deployment";"MSC service thread 1-4";"WFLYEJB0473: JNDI bindings for session bean named 'CsvLoad' in deployment unit 'deployment ""csvcompare.war""' are as follows:"
"2019-06-23 06:43:17,040";"INFO";"org.jboss.as.ejb3.deployment";"MSC service thread 1-4";"WFLYEJB0473: JNDI bindings for session bean named 'CsvStatistic' in deployment unit 'deployment ""csvcompare.war""' are as follows:"
"2019-06-23 06:43:17,040";"INFO";"org.jboss.as.ejb3.deployment";"MSC service thread 1-4";"WFLYEJB0473: JNDI bindings for session bean named 'CsvCompare' in deployment unit 'deployment ""csvcompare.war""' are as follows:"
"2019-06-23 06:43:17,071";"INFO";"org.infinispan.configuration.cache.EvictionConfigurationBuilder";"ServerService Thread Pool -- 107";"ISPN000152: Passivation configured without an eviction policy being selected. Only manually evicted entities will be passivated."
"2019-06-23 06:43:17,087";"INFO";"org.infinispan.configuration.cache.EvictionConfigurationBuilder";"ServerService Thread Pool -- 107";"ISPN000152: Passivation configured without an eviction policy being selected. Only manually evicted entities will be passivated."
"2019-06-23 06:43:17,087";"INFO";"org.jboss.as.clustering.infinispan";"ServerService Thread Pool -- 107";"WFLYCLINF0002: Started client-mappings cache from ejb container"
"2019-06-23 06:43:17,102";"INFO";"org.jboss.as.connector.deployers.jdbc";"MSC service thread 1-6";"WFLYJCA0004: Deploying JDBC-compliant driver class org.h2.Driver (version 1.4)"
"2019-06-23 06:43:17,118";"INFO";"org.jboss.as.connector.deployers.jdbc";"MSC service thread 1-6";"WFLYJCA0018: Started Driver service with driver-name = csvcompare.war_org.h2.Driver_1_4"
"2019-06-23 06:43:17,387";"INFO";"org.omnifaces.ApplicationInitializer";"ServerService Thread Pool -- 115";"Using OmniFaces version 2.7.1"
"2019-06-23 06:43:17,418";"INFO";"javax.enterprise.resource.webcontainer.jsf.config";"ServerService Thread Pool -- 115";"Initializing Mojarra 2.2.13.SP1 20160303-1204 for context '/csvcompare'"
"2019-06-23 06:43:17,668";"INFO";"org.wildfly.extension.undertow";"ServerService Thread Pool -- 115";"WFLYUT0021: Registered web context: /csvcompare"
"2019-06-23 06:43:17,699";"INFO";"org.jboss.as.server";"DeploymentScanner-threads - 1";"WFLYSRV0010: Deployed ""csvcompare.war"" (runtime-name : ""csvcompare.war"")"
"2019-06-23 06:48:21,946";"ERROR";"org.jboss.as.ejb3.invocation";"default task-20";"WFLYEJB0034: EJB Invocation failed on component CsvStatistic for method public java.util.List org.huberb.csvcompare.war.service.CsvStatistic.queryData(java.lang.String) throws java.sql.SQLException,java.io.IOException: javax.ejb.EJBException: java.lang.UnsupportedOperationException"
"2019-06-23 06:48:21,975";"WARNING";"javax.enterprise.resource.webcontainer.jsf.lifecycle";"default task-20";"#{csvStatisticController.queryAction()}: javax.ejb.EJBException: java.lang.UnsupportedOperationException: javax.faces.FacesException: #{csvStatisticController.queryAction()}: javax.ejb.EJBException: java.lang.UnsupportedOperationException"
"2019-06-23 06:48:22,016";"FATAL";"javax.enterprise.resource.webcontainer.jsf.context";"default task-20";"JSF1073: javax.faces.FacesException caught during processing of INVOKE_APPLICATION 5 : UIComponent-ClientId=, Message=#{csvStatisticController.queryAction()}: javax.ejb.EJBException: java.lang.UnsupportedOperationException"
"2019-06-23 06:48:22,019";"FATAL";"javax.enterprise.resource.webcontainer.jsf.context";"default task-20";"#{csvStatisticController.queryAction()}: javax.ejb.EJBException: java.lang.UnsupportedOperationException: javax.faces.FacesException: #{csvStatisticController.queryAction()}: javax.ejb.EJBException: java.lang.UnsupportedOperationException"
